Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Randy Brown,Bulls,Chicago,Guard,0,6.2,190,1991,2,31,New Mexico State,5/22/1968,1991,2002,4.8,2.2,1.8
Raymond Brown,Jazz,Utah,Forward,24,6.8,220,Undrafted,Undrafted,Undrafted,Idaho,7/5/1965,1989,1989,1,0.3,0.9
Rickey Brown,Warriors,Golden State,Center,31,6.1,215,1980,1,13,Mississippi State,8/20/1958,1980,1984,4.4,0.4,3.5
Roger Brown,Pistons,Detroit,Center,35,6.1,225,1971,4,64,Kansas,2/23/1950,1972,1979,1.8,0.3,3
Shannon Brown,,,,,,,2006,1,25,Michigan State,11/29/1985,2006,2014,7.6,1.1,1.9
Stan Brown,Warriors,Philadelphia,Forward,14,6.3,200,Undrafted,Undrafted,Undrafted,,6/27/1929,1947,1951,3.1,0.3,1.1
Sterling Brown,Bucks,Milwaukee,Guard-Forward,23,6.5,219,2017,2,46,Southern Methodist,2/10/1995,2017,Present,5.1,1,3.5
Tierre Brown,,,,,,,Undrafted,Undrafted,Undrafted,McNeese State,6/3/1979,2001,2004,3.9,2,1.2
Tony Brown,Bucks,Milwaukee,Forward,21,6.6,185,1982,4,82,Arkansas,7/29/1960,1984,1991,6,1.6,2.1
Charles Brown Jr.,Hawks,Atlanta,Guard,4,6.6,199,Undrafted,Undrafted,Undrafted,St. Joseph's (PA),2/2/1997,2019,Present,2,0.2,0.4
Troy Brown Jr.,Wizards,Washington,Guard-Forward,6,6.6,215,2018,1,15,Oregon,7/28/1999,2018,Present,10.4,2.6,5.6
Jim Browne,Nuggets,Denver,Center,,6.1,235,Undrafted,Undrafted,Undrafted,,1/1/1930,1948,1949,1.4,0.2,
Stanley Brundy,Nets,New Jersey,Forward,21,6.6,210,1989,2,32,DePaul,11/13/1967,1989,1989,2.3,0.2,1.6
Jalen Brunson,Mavericks,Dallas,Guard,13,6.1,190,2018,2,33,Villanova,8/31/1996,2018,Present,8.2,3.3,2.4
Rick Brunson,Trail Blazers,Portland,Guard,9,6.4,190,Undrafted,Undrafted,Undrafted,Temple,6/14/1972,1997,2005,3.2,2.6,1.3
Nicolas Brussino,,,,,,,Undrafted,Undrafted,Undrafted,,3/2/1993,2016,2017,2.6,0.8,1.7
Emmette Bryant,Knicks,New York,Guard,7,6.1,175,1964,7,53,DePaul,11/4/1938,1964,1971,6.6,3,2.8
Joe Bryant,76ers,Philadelphia,Forward,22,6.1,185,1975,1,14,La Salle,10/19/1954,1975,1982,8.7,1.7,4
Kobe Bryant,Lakers,Los Angeles,Forward-Guard,24,6.6,212,1996,1,13,Lower Merion,8/23/1978,1996,2015,25,4.7,5.2
Mark Bryant,Trail Blazers,Portland,Forward,9,6.9,250,1988,1,21,Seton Hall,4/25/1965,1988,2002,5.4,0.6,3.8
Thomas Bryant,Wizards,Washington,Center-Forward,13,6.1,248,2017,2,42,Indiana,7/31/1997,2017,Present,13.2,1.8,7.2
Wallace Bryant,Mavericks,Dallas,Center,31,7,245,1982,2,30,San Francisco,7/14/1959,1983,1985,3.2,1.1,3.7
Torgeir Bryn,Clippers,Los Angeles,Forward,12,6.9,250,Undrafted,Undrafted,Undrafted,Texas State,8/8/1964,1989,1989,1.3,0,0.7
Joe Buckhalter,Royals,Cincinnati,Forward,21,6.7,210,1958,12,81,Tennessee State,8/1/1937,1961,1962,5.8,0.7,4.1
Steve Bucknall,Lakers,Los Angeles,Forward,24,6.6,215,Undrafted,Undrafted,Undrafted,North Carolina,3/17/1966,1989,1989,1.3,0.6,0.4
Cleveland Buckner,Knicks,New York,Forward,12,6.9,210,1961,6,51,Jackson State,8/17/1938,1961,1962,6,0.6,3.5
Greg Buckner,Mavericks,Dallas,Guard,7,6.4,210,1998,2,53,Clemson,9/16/1976,1999,2008,5,1.3,2.8
Quinn Buckner,Bucks,Milwaukee,Guard,25,6.3,190,1976,1,7,Indiana,8/20/1954,1976,1985,8.2,4.3,2.7
Dave Budd,Knicks,New York,Forward,10,6.6,205,1960,2,10,Wake Forest,10/28/1938,1960,1964,7.1,1,4.6
Chase Budinger,Rockets,Houston,Forward,10,6.7,209,2009,2,44,Arizona,5/22/1988,2009,2015,7.9,1.2,3
Walter Budko,Bullets,Baltimore,Forward,19,6.5,220,1948,1,6,Columbia,6/30/1925,1948,1951,8.1,1.9,5.4
Jud Buechler,Bulls,Chicago,Guard-Forward,30,6.6,228,1990,2,38,Arizona,6/19/1968,1990,2001,3.3,0.8,1.8
Rodney Buford,Nets,New Jersey,Forward-Guard,2,6.5,195,1999,2,53,Creighton,11/2/1977,1999,2004,6.4,0.8,2.6
Matt Bullard,Rockets,Houston,Forward,50,6.1,229,Undrafted,Undrafted,Undrafted,Iowa,6/5/1967,1990,2002,5.3,0.9,2
Reggie Bullock,Knicks,New York,Guard-Forward,25,6.6,205,2013,1,25,North Carolina,3/16/1991,2013,Present,8.1,1.4,2.3
Greg Bunch,Knicks,New York,Forward,30,6.6,190,1978,2,34,Cal State-Fullerton,5/15/1956,1978,1978,2.3,0.3,1.4
Dick Bunt,Bullets,Baltimore,Guard,,6,170,1952,,,New York University,7/13/1930,1952,1952,3.5,0.7,1.1
Bill Buntin,Pistons,Detroit,Center,17,6.7,250,1965,,,Michigan,5/5/1942,1965,1965,7.7,0.9,6
Luther Burden,Knicks,New York,Guard,14,6.2,185,1975,2,26,Utah,2/28/1953,1976,1977,5.5,1,1
Pat Burke,Suns,Phoenix,Center-Forward,11,6.1,250,Undrafted,Undrafted,Undrafted,Auburn,12/14/1973,2002,2006,3.7,0.3,2.1
Trey Burke,Mavericks,Dallas,Guard,32,6,185,2013,1,9,Michigan,11/12/1992,2013,Present,7.4,2.5,1.5
Roger Burkman,Bulls,Chicago,Guard,21,6.5,175,1981,6,130,Louisville,5/22/1958,1981,1981,0.8,0.8,1
Alec Burks,76ers,Philadelphia,Guard,20,6.6,214,2011,1,12,Colorado,7/20/1991,2011,Present,15,2.9,4.3
Antonio Burks,Grizzlies,Memphis,Guard,1,6,195,2004,2,36,Memphis,2/25/1980,2004,2005,2.3,1.3,0.6
Kevin Burleson,Bobcats,Charlotte,Guard,12,6.3,205,Undrafted,Undrafted,Undrafted,Minnesota,4/9/1979,2005,2005,1.8,1.2,0.7
Tom Burleson,SuperSonics,Seattle,Center,16,7.2,225,1974,1,3,North Carolina State,2/24/1952,1974,1980,9.4,1.3,6.3
Jack Burmaster,Redskins,Sheboygan,Guard,,6.3,190,1948,,,Illinois,12/23/1926,1949,1949,9.8,2.9,
David Burns,Nuggets,Denver,Guard,5,6.2,180,1981,3,49,Saint Louis,7/3/1958,1981,1981,2.6,1.7,0.6
Evers Burns,Kings,Sacramento,Forward,53,6.8,260,1993,2,31,Maryland,8/24/1971,1993,1993,2.4,0.4,1.3
Jim Burns,Bulls,Chicago,Guard,6,6.3,195,1967,4,34,Northwestern,9/21/1945,1967,1967,1.3,0.3,0.7
Scott Burrell,Hornets,Charlotte,Guard,2,6.7,218,1993,1,20,Connecticut,1/12/1971,1993,2000,6.9,1.4,3.5
Art Burris,Hawks,Milwaukee,Forward,15,6.5,220,1950,3,,Tennessee,4/7/1924,1950,1951,2.5,0.7,2.8
Junior Burrough,Celtics,Boston,Forward,5,6.8,242,1995,2,33,Virginia,1/18/1973,1995,1995,3.1,0.2,1.8
Bob Burrow,Royals,Rochester,Center,50,6.7,228,1956,,,Kentucky,6/29/1934,1956,1957,5.7,0.6,4.4
Deonte Burton,Thunder,Oklahoma City,Guard-Forward,30,6.4,240,Undrafted,Undrafted,Undrafted,Iowa State,1/31/1994,2018,Present,2.7,0.4,1.5
Ed Burton,Knicks,New York,Forward,34,6.6,225,Undrafted,Undrafted,Undrafted,Michigan State,8/13/1939,1961,1964,2.2,0.2,1.2
Willie Burton,,,,,,,1990,1,9,Minnesota,5/26/1968,1990,1998,10.3,1.2,2.9
Steve Burtt,Warriors,Golden State,Guard,15,6.2,185,1984,2,30,Iona,11/5/1962,1984,1992,5.8,1.2,0.9
Don Buse,Suns,Phoenix,Guard,10,6.4,190,1972,3,34,Evansville,8/10/1950,1976,1984,6.9,4.5,2.3
Brian Butch,Nuggets,Denver,Center,43,6.1,240,Undrafted,Undrafted,Undrafted,Wisconsin,12/22/1984,2009,2009,,,
Donnie Butcher,Pistons,Detroit,Guard,24,6.2,200,1961,7,60,Pikeville,2/8/1936,1961,1965,6.1,2.1,2.9
Al Butler,Knicks,New York,Guard,20,6.2,175,1961,2,17,Niagara,7/9/1938,1961,1964,9.8,2.3,3
Caron Butler,Wizards,Washington,Forward,31,6.7,228,2002,1,10,Connecticut,3/13/1980,2002,2015,14.1,2.3,5
Da'Sean Butler,Spurs,San Antonio,Forward,1,6.7,230,2010,2,42,West Virginia,1/25/1988,2010,2010,,,
Greg Butler,Knicks,New York,Center,45,6.1,240,1988,2,37,Stanford,3/11/1966,1988,1990,1.4,0.1,1
Jackie Butler,Knicks,New York,Center,45,6.1,260,Undrafted,Undrafted,Undrafted,Southern Illinois,3/10/1985,2004,2006,5,0.4,3
Jimmy Butler,Heat,Miami,Forward,22,6.7,230,2011,1,30,Marquette,9/14/1989,2011,Present,19.9,6,6.7
Mitchell Butler,Wizards,Washington,Guard,32,6.5,210,Undrafted,Undrafted,Undrafted,UCLA,12/15/1970,1993,2003,5.2,0.9,2
Rasual Butler,,,,,,,2002,2,52,La Salle,5/23/1979,2002,2015,7.5,0.8,2.4
Dwight Buycks,Pistons,Detroit,Guard,20,6.3,190,Undrafted,Undrafted,Undrafted,Marquette,3/6/1989,2013,2017,6.3,1.7,1.6
Derrick Byars,Spurs,San Antonio,Guard-Forward,34,6.7,220,2007,2,42,Vanderbilt,4/25/1984,2011,2011,5,0.5,5.5
Andrew Bynum,Lakers,Los Angeles,Center,17,7,285,2005,1,10,Saint Joseph,10/27/1987,2005,2013,11.5,1.2,7.7
Will Bynum,Pistons,Detroit,Guard,1,6,185,Undrafted,Undrafted,Undrafted,Georgia Tech,1/4/1983,2005,2014,8.1,3.3,1.6
Marty Byrnes,Pacers,Indiana,Forward,11,6.7,215,1978,1,19,Syracuse,4/30/1956,1978,1982,5.7,1.6,2.2
Tommy Byrnes,Knicks,New York,Guard,12,6.3,175,Undrafted,Undrafted,Undrafted,Seton Hall,2/19/1923,1946,1950,6.5,1.2,1.5
Mike Bytzura,Ironmen,Pittsburgh,Forward,,6.1,170,Undrafted,Undrafted,Undrafted,Long Island-Brooklyn,6/18/1922,1946,1946,3.5,0.5,
Zarko Cabarkapa,Warriors,Golden State,Forward-Center,11,6.1,230,2003,1,17,,5/21/1981,2003,2006,4.3,0.6,2.1
Barney Cable,Nationals,Syracuse,Forward,35,6.7,175,1958,2,10,Bradley,7/29/1935,1958,1963,6.6,1,5.2
Bruno Caboclo,Raptors,Toronto,Forward,5,6.9,218,2014,1,20, ,9/21/1995,2014,Present,3,0.4,2
Devontae Cacok,Lakers,Los Angeles,Forward,12,6.8,240,Undrafted,Undrafted,Undrafted,UNC-Wilmington,10/8/1996,2019,Present,6,1,5
Jason Caffey,Bulls,Chicago,Forward,35,6.8,256,1995,1,20,Alabama,6/12/1973,1995,2002,7.3,0.9,4.4
Michael Cage,,,,,,,1984,1,14,San Diego State,1/28/1962,1984,1999,7.3,0.9,7.6
Gerry Calabrese,Nationals,Syracuse,Guard,13,6.1,175,1950,2,,St. John's (NY),2/4/1925,1950,1951,4.7,1.4,1.4
Nick Calathes,Grizzlies,Memphis,Guard,12,6.6,213,2009,2,45,Florida,2/7/1989,2013,2014,4.6,2.7,1.9
Jose Calderon,Pistons,Detroit,Guard,81,6.3,200,Undrafted,Undrafted,Undrafted, ,9/28/1981,2005,2018,8.9,5.8,2.4
Adrian Caldwell,,,,,,,Undrafted,Undrafted,Undrafted,Lamar,7/4/1966,1989,1997,2,0.2,2.5
Jim Caldwell,Knicks,New York,Center,23,6.1,240,1965,3,25,Georgia Tech,1/28/1943,1967,1967,0,0.5,0.5
Joe Caldwell,Hawks,Atlanta,Forward,27,6.5,195,1964,1,2,Arizona State,11/1/1941,1964,1969,15.2,2.7,5.1
Kentavious Caldwell-Pope,Lakers,Los Angeles,Guard,1,6.5,204,2013,1,8,Georgia,2/18/1993,2013,Present,9.3,1.6,2.1
Bill Calhoun,Hawks,Milwaukee,Forward,3,6.3,180,Undrafted,Undrafted,Undrafted,,11/4/1927,1948,1954,7.8,2.3,4
Corky Calhoun,Suns,Phoenix,Forward,10,6.7,210,1972,1,4,Pennsylvania,11/1/1950,1972,1979,5.3,1.1,3.6
Demetrius Calip,Lakers,Los Angeles,Guard,7,6.1,165,Undrafted,Undrafted,Undrafted,Michigan,11/18/1969,1991,1991,1.6,1.7,0.7
Tom Callahan,Steamrollers,Providence,Guard,,6.1,180,Undrafted,Undrafted,Undrafted,Rockhurst,6/2/1921,1946,1946,1.3,0.3,
Rick Calloway,Kings,Sacramento,Guard,4,6.6,180,Undrafted,Undrafted,Undrafted,Kansas,10/12/1966,1990,1990,3.2,1,1.2
Ernie Calverley,Steamrollers,Providence,Guard,,5.1,145,Undrafted,Undrafted,Undrafted,Rhode Island,1/30/1924,1946,1948,11.9,3.5,
Mack Calvin,Nuggets,Denver,Guard,21,6,165,1969,14,187,Southern California,7/27/1947,1976,1980,7,2.5,1.2
Dexter Cambridge,Mavericks,Dallas,Forward,30,6.7,224,Undrafted,Undrafted,Undrafted,Texas,1/29/1970,1992,1992,7,1.1,3.2
Marcus Camby,Nuggets,Denver,Center-Forward,23,6.1,240,1996,1,2,Massachusetts,3/22/1974,1996,2012,9.5,1.9,9.8
Elden Campbell,Lakers,Los Angeles,Center-Forward,41,7,279,1990,1,27,Clemson,7/23/1968,1990,2004,10.3,1.1,5.9
Tony Campbell,Timberwolves,Minnesota,Forward,9,6.7,215,1984,1,20,Ohio State,5/7/1962,1984,1994,11.6,1.5,3.1
Isaiah Canaan,,,,,,,2013,2,34,Murray State,5/21/1991,2013,2018,8.1,1.9,1.9
Vlatko Cancar,Nuggets,Denver,Forward,31,6.8,236,2017,2,49, ,4/10/1997,2019,Present,1.2,0.2,0.7
Larry Cannon,76ers,Philadelphia,Guard,14,6.4,195,1969,1,5,La Salle,4/12/1947,1973,1973,6.2,2.7,1.9
Clint Capela,Hawks,Atlanta,Center,15,6.1,240,2014,1,25, ,5/18/1994,2014,Present,13.9,1.2,13.8
Derrick Caracter,Lakers,Los Angeles,Forward,45,6.9,275,2010,2,58,Texas-El Paso,5/4/1988,2010,2010,2,0.2,1
Brian Cardinal,Grizzlies,Memphis,Forward,35,6.8,240,2000,2,44,Purdue,5/2/1977,2000,2011,4.6,1,2.3
Howie Carl,Packers,Chicago,Guard,10,5.9,160,1961,5,50,DePaul,6/7/1938,1961,1961,5.5,1.8,1.3
Chet Carlisle,Stags,Chicago,Forward,,6.5,195,Undrafted,Undrafted,Undrafted,California,11/2/1916,1946,1946,5,0.3,
Geno Carlisle,,,,,,,Undrafted,Undrafted,Undrafted,California,8/13/1976,2004,2004,1.3,0.2,0.2
Rick Carlisle,Celtics,Boston,Guard,12,6.5,210,1984,3,70,Virginia,10/27/1959,1984,1989,2.2,1.1,0.8
Al Carlson,SuperSonics,Seattle,Center,35,6.1,235,Undrafted,Undrafted,Undrafted,Oregon,9/17/1951,1975,1975,2.6,0.5,2.6
Don Carlson,Lakers,Minneapolis,Guard,,6,170,Undrafted,Undrafted,Undrafted,Minnesota,3/22/1921,1946,1950,8,1.8,1.7
Bob Carney,Lakers,Minneapolis,Center,18,6.3,170,1954,6,47,Bradley,8/3/1932,1954,1954,3.6,0.8,2.4
Rodney Carney,,,,,,,2006,1,16,Memphis,4/5/1984,2006,2010,5.9,0.4,2
Bob Carpenter,Pistons,Ft. Wayne Zollner,Forward,15-Oct,6.5,200,Undrafted,Undrafted,Undrafted,Texas A&M-Commerce,11/6/1917,1949,1950,7.7,1.4,4.1
Antoine Carr,,,,,,,1983,1,8,Wichita State,7/23/1961,1984,1999,9.3,1.1,3.4
Austin Carr,Cavaliers,Cleveland,Guard,34,6.4,200,1971,1,1,Notre Dame,3/10/1948,1971,1980,15.4,2.8,2.9
Chris Carr,,,,,,,1995,2,56,Southern Illinois,3/12/1974,1995,2000,6.7,1,2.2
Cory Carr,Bulls,Chicago,Guard,21,6.4,210,1998,2,49,Texas Tech,12/5/1975,1998,1998,4.1,1.6,1.2
Kenny Carr,Trail Blazers,Portland,Forward,34,6.7,220,1977,1,6,North Carolina State,8/15/1955,1977,1986,11.6,1.4,7.4
M.L. Carr,Celtics,Boston,Forward,30,6.6,205,1973,5,76,Guilford,1/9/1951,1976,1984,9.7,1.8,4.3
Bob Carrington,Nets,New Jersey,Guard,30,6.6,195,1976,2,28,Boston College,7/3/1953,1977,1979,8.2,1.5,2.3
DeMarre Carroll,Rockets,Houston,Forward,9,6.6,215,2009,1,27,Missouri,7/27/1986,2009,Present,3.6,1,2.3
Joe Barry Carroll,Warriors,Golden State,Center,2,7,225,1980,1,1,Purdue,7/24/1958,1980,1990,17.7,1.8,7.7
Matt Carroll,,,,,,,Undrafted,Undrafted,Undrafted,Notre Dame,8/28/1980,2003,2012,6.6,0.7,1.9
Jimmy Carruth,,,,,,,Undrafted,Undrafted,Undrafted,Virginia Tech,11/4/1969,1996,1996,1.3,0,1
Anthony Carter,,,,,,,Undrafted,Undrafted,Undrafted,Hawaii,6/16/1975,1999,2011,4.8,3.8,2.1
Butch Carter,Pacers,Indiana,Guard,12,6.5,180,1980,2,37,Indiana,6/11/1958,1980,1985,8.7,1.9,1.5
Fred Carter,76ers,Philadelphia,Guard,5-Mar,6.3,185,1969,3,43,Mount St. Mary's,2/14/1945,1969,1976,15.2,3.5,3.9
George Carter,Pistons,Detroit,Forward,12,6.4,210,1967,8,81,St. Bonaventure,1/18/1944,1967,1967,3,1,0
Howard Carter,Nuggets,Denver,Guard,32,6.5,215,1983,1,15,Louisiana State,10/26/1961,1983,1984,5.3,1.1,1.3
Jake Carter,Nuggets,Denver,Forward,,6.4,195,1948,,,Texas A&M-Commerce,7/25/1924,1949,1949,3.4,1,
Jevon Carter,Suns,Phoenix,Guard,4,6.1,200,2018,2,32,West Virginia,9/14/1995,2018,Present,4.9,1.4,2
Maurice Carter,Hornets,New Orleans,Guard,5,6.5,210,Undrafted,Undrafted,Undrafted,Louisiana State,10/12/1976,2002,2003,4.2,0.4,1.1
Reggie Carter,Knicks,New York,Guard,35,6.3,175,1979,2,27,St. John's (NY),10/10/1957,1980,1981,3.5,1.5,1.2
Ron Carter,Lakers,Los Angeles,Guard,13,6.5,190,1978,2,26,Virginia Military Institute,8/31/1956,1978,1979,3,0.6,1.1
Vince Carter,Hawks,Atlanta,Guard-Forward,15,6.6,220,1998,1,5,North Carolina,1/26/1977,1998,Present,5,0.8,2.1
Wendell Carter Jr.,Bulls,Chicago,Center-Forward,34,6.9,270,2018,1,7,Duke,4/16/1999,2018,Present,11.3,1.2,9.4
Michael Carter-Williams,Magic,Orlando,Guard,7,6.5,190,2013,1,11,Syracuse,10/10/1991,2013,Present,7.2,2.4,3.3
Bill Cartwright,Knicks,New York,Center,24,7.1,245,1979,1,3,San Francisco,7/30/1957,1979,1994,13.2,1.4,6.3
Jay Carty,Lakers,Los Angeles,Forward,52,6.7,220,1962,6,46,Oregon State,7/4/1941,1968,1968,2.7,0.4,2.1
Alex Caruso,Lakers,Los Angeles,Guard,4,6.5,186,Undrafted,Undrafted,Undrafted,Texas A&M,2/28/1994,2017,Present,5.5,1.9,1.9
Cornelius Cash,Pistons,Detroit,Forward,45,6.8,215,1975,2,24,Bowling Green,3/3/1952,1976,1976,3.5,0.2,2.7
Sam Cassell,Bucks,Milwaukee,Guard,28,6.3,185,1993,1,24,Florida State,11/18/1969,1993,2007,15.7,6,3.2
Omri Casspi,,,,,,,2009,1,23,,6/22/1988,2009,2018,7.9,1.1,4
Harvey Catchings,Bucks,Milwaukee,Center,42,6.9,218,1974,3,42,Hardin-Simmons,9/2/1951,1974,1984,3.2,0.8,5
Terry Catledge,Bullets,Washington,Forward,33,6.8,220,1985,1,21,South Alabama,8/22/1963,1985,1992,12.7,0.9,6.4
Sid Catlett,Royals,Cincinnati,Forward,43,6.6,230,1971,4,55,Notre Dame,4/18/1948,1971,1971,0.7,0.1,0.4
Kelvin Cato,Rockets,Houston,Center,26,6.1,275,1997,1,15,Iowa State,8/26/1974,1997,2006,5.5,0.5,5.3
Bobby Cattage,Jazz,Utah,Forward,45,6.9,250,1981,8,165,Auburn,8/17/1958,1981,1985,3.1,0.1,1.4
Willie Cauley-Stein,Mavericks,Dallas,Center,33,7,240,2015,1,6,Kentucky,8/18/1993,2015,Present,7.2,1.3,5.8
Troy Caupain,Magic,Orlando,Guard,3,6.4,210,Undrafted,Undrafted,Undrafted,Cincinnati,11/29/1995,2018,2018,2.5,1,0.8
Duane Causwell,Kings,Sacramento,Center,,7,255,1990,1,18,Temple,5/31/1968,1990,2002,4.9,0.4,4.2
Tyler Cavanaugh,Jazz,Utah,Forward,34,6.9,238,Undrafted,Undrafted,Undrafted,George Washington,2/9/1994,2017,2018,3.8,0.6,2.7
Ron Cavenall,Knicks,New York,Center,40,7.1,230,Undrafted,Undrafted,Undrafted,Texas Southern,4/30/1959,1984,1988,1.4,0.3,2.9
Cedric Ceballos,Suns,Phoenix,Forward,23,6.7,220,1990,2,48,Cal State-Fullerton,8/2/1969,1990,2000,14.3,1.2,5.3
John Celestand,Lakers,Los Angeles,Guard,20,6.3,190,1999,2,30,Villanova,3/6/1977,1999,2002,2.3,1.3,0.7
Al Cervi,Nationals,Syracuse,Guard,15,5.11,170,Undrafted,Undrafted,Undrafted,,2/12/1917,1949,1952,7.9,3.2,1.8
Lionel Chalmers,Clippers,Los Angeles,Guard,0,6,180,2004,2,33,Xavier,11/10/1980,2004,2004,3.1,1.4,0.9
Mario Chalmers,Heat,Miami,Guard,6,6.2,190,2008,2,34,Kansas,5/19/1986,2008,2017,8.9,3.7,2.5
Bill Chamberlain,Suns,Phoenix,Forward,24,6.6,188,1972,3,43,North Carolina,12/16/1949,1973,1973,5.5,1.3,2.9
Wilt Chamberlain,Warriors,San Francisco,Center,13,7.1,250,1959,,,Kansas,8/21/1936,1959,1972,30.1,4.4,22.9
Jerry Chambers,Suns,Phoenix,Forward,40,6.5,185,1966,1,7,Utah,7/18/1943,1966,1971,8.1,0.8,3.1
Tom Chambers,,,,24,,,1981,1,8,Utah,6/21/1959,1981,1997,18.1,2.1,6.1
Mike Champion,SuperSonics,Seattle,Forward,41,6.1,230,Undrafted,Undrafted,Undrafted,Gonzaga,4/5/1964,1988,1988,0,0,0
Tyson Chandler,Rockets,Houston,Center,19,7,235,2001,1,2, ,10/2/1982,2001,Present,1.3,0.2,2.5
Wilson Chandler,Nets,Brooklyn,Forward,21,6.8,235,2007,1,23,DePaul,5/10/1987,2007,Present,5.9,1.1,4.1
Don Chaney,Celtics,Boston,Guard,12,6.5,210,1968,1,12,Houston,3/22/1946,1968,1979,8.4,2.1,3.9
John Chaney,Redskins,Sheboygan,Forward,,6.3,185,Undrafted,Undrafted,Undrafted,Louisiana State,2/29/1920,1949,1949,4.4,1.3,
Rex Chapman,,,,,,,1988,1,8,Kentucky,10/5/1967,1988,1999,14.6,2.7,2.5
Len Chappell,Knicks,New York,Forward,25,6.8,240,1962,1,4,Wake Forest,1/31/1941,1962,1970,9.5,0.7,5.3
Ken Charles,Braves,Buffalo,Guard,44,6.3,180,1973,3,38,Fordham,7/10/1951,1973,1977,8.5,2.5,2
Lorenzo Charles,Hawks,Atlanta,Forward,43,6.7,225,1985,2,41,North Carolina State,11/25/1963,1985,1985,3.4,0.2,1.1
Joe Chealey,,,,,,,Undrafted,Undrafted,Undrafted,College of Charleston,11/1/1995,2018,2019,0.5,0.3,0
Calbert Cheaney,Wizards,Washington,Guard-Forward,40,6.7,210,1993,1,6,Indiana,7/17/1971,1993,2005,9.5,1.7,3.2
Zylan Cheatham,Pelicans,New Orleans,Forward,45,6.5,220,Undrafted,Undrafted,Undrafted,Arizona State,11/17/1995,2019,Present,3,0.8,2.3
Maurice Cheeks,76ers,Philadelphia,Guard,10,6.1,180,1978,2,36,West Texas A&M,9/8/1956,1978,1992,11.1,6.7,2.8
Phil Chenier,Bullets,Washington,Guard,15,6.3,180,Undrafted,Undrafted,Undrafted,California,10/30/1950,1971,1980,17.2,3,3.6
Will Cherry,,,,,,,Undrafted,Undrafted,Undrafted,Montana,2/8/1991,2014,2014,1.9,1,0.6
Derrick Chievous,Rockets,Houston,Forward,33,6.7,195,1988,1,16,Missouri,7/3/1967,1988,1990,7.1,0.7,2.4
Pete Chilcutt,Grizzlies,Vancouver,Forward,24,6.1,245,1991,1,27,North Carolina,9/14/1968,1991,1999,4.3,0.8,3.3
Josh Childress,,,,,,,2004,1,6,Stanford,6/20/1983,2004,2013,9.1,1.6,4.7
Randolph Childress,,,,,,,1995,1,19,Wake Forest,9/21/1972,1995,1996,2.4,1,0.5
Chris Childs,Knicks,New York,Guard,,6.3,195,Undrafted,Undrafted,Undrafted,Boise State,11/20/1967,1994,2002,6.9,4.9,2.4
Chris Chiozza,Nets,Brooklyn,Guard,4,5.11,175,Undrafted,Undrafted,Undrafted,Florida,11/21/1995,2018,Present,5.1,3,1.9
Leroy Chollet,Nationals,Syracuse,Forward,11,6.2,190,Undrafted,Undrafted,Undrafted,Canisius,3/5/1925,1949,1950,2.9,0.8,1.1
Jim Chones,Cavaliers,Cleveland,Center,9,6.1,220,1973,2,31,Marquette,11/30/1949,1974,1981,12.3,1.7,8.3
Marquese Chriss,Warriors,Golden State,Forward,32,6.9,240,2016,1,8,Washington,7/2/1997,2016,Present,9.3,1.9,6.2
Marquese Chriss,Warriors,Golden State,Forward,32,6.9,240,2016,1,8,Washington,7/2/1997,2016,Present,9.3,1.9,6.2
Cal Christensen,Royals,Rochester,Forward,18,6.5,210,1950,5,,Toledo,6/8/1927,1950,1954,5.2,1.6,5.5
Bob Christian,Hawks,Atlanta,Center,31,6.1,255,1969,8,109,Grambling,5/11/1944,1970,1973,3.8,0.8,4.1
Doug Christie,,,,,,,1992,1,17,Pepperdine,5/9/1970,1992,2006,11.2,3.6,4.1
Dionte Christmas,,,,,,,Undrafted,Undrafted,Undrafted,Temple,9/15/1986,2013,2016,2.3,0.3,1.2
Rakeem Christmas,Pacers,Indiana,Forward,25,6.9,250,2015,2,36,Syracuse,12/1/1991,2015,2016,2.1,0.1,1.9
Semaj Christon,Thunder,Oklahoma City,Guard,6,6.3,190,2014,2,55,Xavier,11/1/1992,2016,2016,2.9,2,1.4
Patrick Christopher,,,,,,,Undrafted,Undrafted,Undrafted,California,6/3/1988,2014,2014,1.5,0,1.5
Robert Churchwell,Warriors,Golden State,Forward,21,6.6,195,Undrafted,Undrafted,Undrafted,Georgetown,2/20/1972,1995,1995,1.5,0.3,0.8
Archie Clark,76ers,Philadelphia,Guard,11,6.2,175,1966,4,37,Minnesota,7/15/1941,1966,1975,16.3,4.8,3.3
Carlos Clark,Celtics,Boston,Guard,40,6.4,210,1983,4,91,Mississippi,8/10/1960,1983,1984,2.4,0.7,0.9
Earl Clark,Magic,Orlando,Forward,55,6.1,234,2009,1,14,Louisville,1/17/1988,2009,2014,4.4,0.5,3
Gary Clark,Magic,Orlando,Forward,12,6.6,225,Undrafted,Undrafted,Undrafted,Cincinnati,11/16/1994,2018,Present,3.7,0.4,2.6
Ian Clark,Pelicans,New Orleans,Guard,2,6.3,175,Undrafted,Undrafted,Undrafted,Belmont,3/7/1991,2013,2018,5.6,1.2,1.3
Keon Clark,Nuggets,Denver,Center-Forward,13,6.1,221,1998,1,13,Nevada-Las Vegas,4/16/1975,1998,2003,8.2,0.9,5.9
